index_group,index_name,index_date,last_update_date,high,low,close,pe_ratio,pb_ratio,dividend_yield,
BSE,BSE:MidCap,16-Jun-2017,04-Dec-24,14893.18,14773.69,14807.33,31.24,2.58,1.24,
BSE,BSE:MidCap,15-Jun-2017,04-Dec-24,14835.98,14751.74,14781.77,31.37,2.59,1.23,
BSE,BSE:MidCap,14-Jun-2017,04-Dec-24,14809.10,14701.26,14799.41,31.54,2.60,1.23,
BSE,BSE:MidCap,13-Jun-2017,04-Dec-24,14892.55,14774.20,14798.20,31.36,2.59,1.23,
BSE,BSE:MidCap,12-Jun-2017,04-Dec-24,14875.62,14760.26,14796.09,31.38,2.59,1.23,
BSE,BSE:MidCap,09-Jun-2017,04-Dec-24,14883.73,14778.08,14875.36,31.66,2.61,1.22,
BSE,BSE:MidCap,08-Jun-2017,04-Dec-24,14883.00,14802.37,14834.42,31.53,2.60,1.23,
BSE,BSE:MidCap,07-Jun-2017,04-Dec-24,14820.29,14741.75,14800.85,31.42,2.59,1.23,
BSE,BSE:MidCap,06-Jun-2017,04-Dec-24,14868.57,14679.16,14732.39,31.19,2.58,1.24,
BSE,BSE:MidCap,05-Jun-2017,04-Dec-24,14880.55,14809.35,14824.06,31.43,2.59,1.23,
BSE,BSE:MidCap,02-Jun-2017,04-Dec-24,14814.59,14746.35,14801.48,31.54,2.60,1.23,
BSE,BSE:MidCap,31-May-2017,04-Dec-24,14652.14,14541.41,14625.29,31.78,2.56,1.27,
BSE,BSE:MidCap,30-May-2017,04-Dec-24,14508.27,14276.66,14489.76,31.42,2.53,1.28,
BSE,BSE:MidCap,29-May-2017,04-Dec-24,14575.88,14297.56,14369.90,31.23,2.52,1.27,
BSE,BSE:MidCap,26-May-2017,04-Dec-24,14535.09,14244.24,14519.90,30.68,2.58,1.28,
BSE,BSE:MidCap,25-May-2017,04-Dec-24,14265.46,14052.45,14227.01,30.13,2.53,1.29,
